,Category,Company_Name,Job_Title,Job_Mode,City,Country,Salary,Posted_on,Job_url,JAVA,JAVASCRIPT,PYTHON,C++,C#,DESIGNER,AUTOMATION,ARTIST,ANIMATION,TESTING,LEADERSHIP,LIGHTING,MAYA,3DS,BLENDER,UNITY,RPG,HOUDINI,ZBRUSH,SUBSTANCE,SQL,MONGODB,NOSQL,S3,DYNAMODB,CASCADE,NIAGRA,SHURIKEN,POPCORNFX,FUMEFX,UE4,UNREAL,CRYENGINE,AAA,GODOT,XBOX,PLAYSTATION,PC,MOBILE,WINDOWS,MACOS,LINUX,GAMEPLAY,PIPELINE,ARCHITECTURE,VR,UI,3D,2D,PASSION,METAGAME,VFX,MODELLING,MULTIPLAYER,GRAPHIC,AI,MATH,GIT,PHYSICS,ALGORITHM,DEVOPS,PHOTOSHOP,TRELLO,CONFLUENCE,BASECAMP,RENDERDOC,PIX,RAZOR
0,Video Games,Coffee Stain Publishing,Senior Programmer,On-Site,Malmo,Sweden,Negotiable,7th September 2022,https://aswift.com/jobs/senior-programmer-malmo-se-2/,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,Video Games,Splash Damage,Design Director,On-Site,Bromley,United Kingdom,Negotiable,7th September 2022,https://aswift.com/jobs/design-director-bromley-uk/,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,Video Games,Ballistic Moon,Lighting Artist,Remote,Farnborough,United Kingdom,Negotiable,7th September 2022,https://aswift.com/jobs/lighting-artist-remote-options-farnborough-uk/,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Video Games,Splash Damage,Lead Technical Designer,Hybrid,Bromley,United Kingdom,Negotiable,7th September 2022,https://aswift.com/jobs/lead-technical-designer-hybrid-options-bromley-uk/,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Video Games,Nitro Games,Senior Game Designer,Remote,Helsinki,Finland,Negotiable,7th September 2022,https://aswift.com/jobs/senior-game-designer-remote-options-helsinki-fi/,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Video Games,Sumo Digital,Graphics Programmer,On-Site,Nottingham,United Kingdom,Negotiable,6th September 2022,https://aswift.com/jobs/graphics-programmer-nottingham-uk-2/,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
6,Video Games,Playground Games,Gameplay Designer,On-Site,Leamington Spa,United Kingdom,Negotiable,6th September 2022,https://aswift.com/jobs/gameplay-designer-leamington-spa-uk/,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Video Games,Metricminds,Animator,On-Site,,Frankfurt,Negotiable,6th September 2022,https://aswift.com/jobs/animator-frankfurt-de/,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Video Games,Orbital,Senior Animator,On-Site,Farnborough,United Kingdom,Negotiable,6th September 2022,https://aswift.com/jobs/senior-animator-farnborough-uk-2/,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9,Video Games,CI Games,Lead Gameplay Programmer,Remote,Warsaw,Poland,Negotiable,6th September 2022,https://aswift.com/jobs/lead-gameplay-programmer-fully-remote-warsaw-pl/,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Video Games,Just Add Water,C++ Programmer,On-Site,Leeds,United Kingdom,Negotiable,5th September 2022,https://aswift.com/jobs/c-programmer-leeds-uk-2/,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,Video Games,Nitro Games,Senior Producer,Hybrid,Helsinki,Finland,"£45,000-£65,000",5th September 2022,https://aswift.com/jobs/senior-producer-hybrid-options-helsinki-fi/,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Video Games,Elevation,Technical Animator,On-Site,Farnborough,United Kingdom,Negotiable,5th September 2022,https://aswift.com/jobs/technical-animator-remote-options-farnborough-uk/,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Video Games,Toadman Interactive,VFX Artist,On-Site,Stockholm,Sweden,Negotiable,2nd September 2022,https://aswift.com/jobs/vfx-artist-stockholm-se-2/,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
