Category,Company_Name,Job_Title,Job_Role,Job_Mode,City,Country,Salary,Posted_on,Job_url,MAYA,3DS,BLENDER,RPG,HOUDINI,ZBRUSH,SUBSTANCE,JAVA,JAVASCRIPT,PYTHON,C++,C#,UNITY,UNREAL,CRYENGINE,GODOT,SQL,MONGODB,NOSQL,S3,DYNAMODB,GAMEPLAY,PIPELINE,ARCHITECTURE,VR,UI,3D,2D,VFX,MODELLING,MULTIPLAYER,GRAPHIC,AI,MATH,GIT,PHYSICS,ALGORITHM,DEVOPS,PHOTOSHOP,XBOX,PLAYSTATION,PC,MOBILE,WINDOWS,MACOS,LINUX
Video Games,Unidefined,Engineering Manager,Manager,On-Site,Cambridge,United Kingdom,Negotiable,16th September 2022,https://aswift.com/jobs/engineering-manager-cambridge-uk/,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Video Games,Unidefined,Engine Programmer,Programmer,On-Site,Winnipeg,Canada,Negotiable,15th September 2022,https://aswift.com/jobs/engine-programmer-5/,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
Video Games,Unidefined,Engine Programmer,Programmer,On-Site,Winnipeg,Canada,Negotiable,15th September 2022,https://aswift.com/jobs/engine-programmer-winnipeg-ca-2/,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
Video Games,Unidefined,Junior C++ Programmer,Programmer,On-Site,Unidefined,United Kingdom,Negotiable,15th September 2022,https://aswift.com/jobs/junior-c-programmer/,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Video Games,Unidefined,Character Technical Artist,Artist,On-Site,Stockholm,Sweden,Negotiable,14th September 2022,https://aswift.com/jobs/character-technical-artist-stockholm-se/,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Video Games,Unidefined,Senior Engine Programmer,Programmer,On-Site,Budapest,Hungary,Negotiable,12th September 2022,https://aswift.com/jobs/senior-engine-programmer-budapest-hu/,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Video Games,Antimatter Games,Senior Game Programmer,Programmer,Remote,Penryn,United Kingdom,Negotiable,12th September 2022,https://aswift.com/jobs/senior-game-programmer-remote-options-cornwall-uk/,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0
Video Games,Build A Rocket Boy,Character Concept Artist,Artist,On-Site,Edinburgh,United Kingdom,Negotiable,12th September 2022,https://aswift.com/jobs/character-concept-artist-edinburgh-uk/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Video Games,Unidefined,Game Server Engineer,Engineer,On-Site,Amsterdam,Netherlands,Negotiable,12th September 2022,https://aswift.com/jobs/game-server-engineer-java/,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
Video Games,Build A Rocket Boy,Senior AI Programmer,Programmer,Remote,Edinburgh,United Kingdom,Negotiable,9th September 2022,https://aswift.com/jobs/senior-ai-programmer-remote-options-edinburgh-uk/,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
